artist_name,top5_share,top3_share,top1_share,hhi,n_tracks,total_track_plays,events_last_year,total_events,listeners
AC/DC,60.66,42.54,15.32,921.3,20.0,109681489.0,1.0,22,4513531
Air,44.35,26.89,11.11,630.6,20.0,67907106.0,1.0,28,3185604
Artemas,76.11,65.75,39.33,2136.6,20.0,41476744.0,2.0,7,1581554
Bad Omens,46.53,35.84,13.17,700.7,20.0,59678738.0,2.0,20,774007
Blood Orange,54.61,44.77,26.09,1068.3,20.0,62772466.0,1.0,8,1937417
Cardi B,59.21,43.13,22.45,985.7,20.0,65945095.0,2.0,22,2389266
Cavetown,54.82,38.86,16.29,839.6,20.0,57055075.0,2.0,12,1611788
Chris Isaak,83.99,77.4,67.48,4649.4,20.0,25015227.0,1.0,8,2018959
Conan Gray,46.17,29.73,13.34,669.5,20.0,159122080.0,2.0,27,2382472
Creed,68.38,49.4,23.94,1166.8,20.0,44352069.0,1.0,14,2420420
Disclosure,62.83,48.82,29.77,1283.2,20.0,44290763.0,1.0,20,2442046
Electric Light Orchestra,63.11,47.64,27.04,1187.7,20.0,48541375.0,1.0,8,2947864
Givēon,47.79,36.9,11.93,729.7,20.0,18931707.0,1.0,7,691845
JID,49.91,36.12,18.72,780.1,20.0,68491970.0,2.0,16,1372310
Jason Derulo,73.07,65.34,24.6,1544.7,20.0,5115014.0,1.0,1,3085020
Joey Valence & Brae,54.95,43.29,24.55,995.8,20.0,20050208.0,1.0,19,965352
Julia Wolf,79.45,72.69,65.05,4315.8,20.0,11571609.0,2.0,2,565581
Ken Carson,38.29,25.55,9.65,579.6,20.0,140000429.0,1.0,7,1143613
Kesha,54.76,38.09,18.41,826.2,20.0,62351389.0,2.0,14,3093673
Kodak Black,42.93,27.42,11.09,902.8,20.0,70974742.0,1.0,5,1783138
Lady Gaga,36.88,25.48,9.42,599.6,20.0,433930615.0,1.0,14,7638489
Laufey,54.47,36.95,17.42,801.4,20.0,152901526.0,1.0,3,2274538
Leon Thomas,67.78,56.44,41.29,1961.0,20.0,17014994.0,1.0,38,878660
Lily Allen,53.52,36.36,17.17,783.5,20.0,82957132.0,2.0,40,3734697
Miguel,71.61,54.31,25.79,1367.5,20.0,61431258.0,3.0,26,2650534
Mitski,45.89,32.53,13.81,668.2,20.0,356846709.0,1.0,10,3208965
Nine Inch Nails,45.08,32.91,16.37,689.2,20.0,98768997.0,2.0,5,3573623
Reneé Rapp,42.9,28.12,10.47,629.7,20.0,56673667.0,2.0,10,983470
Sam Smith,58.33,40.95,14.63,870.6,20.0,80577083.0,2.0,4,3052030
Sienna Spiro,85.33,77.45,47.02,2733.0,20.0,4710962.0,2.0,17,342136
TV Girl,62.05,47.15,19.77,1015.2,20.0,246035803.0,1.0,4,2789829
Three Days Grace,54.22,42.65,18.68,897.5,20.0,118279512.0,3.0,45,3841004
Thundercat,61.69,49.44,21.45,1101.8,20.0,55239652.0,1.0,9,2007717
Toto,86.54,78.56,42.92,2666.2,20.0,43375309.0,3.0,36,3052684
Zara Larsson,59.76,46.52,22.04,1032.3,20.0,57907620.0,2.0,42,2197111
bbno$,46.05,28.35,8.51,685.3,20.0,42800427.0,3.0,34,1480504
sombr,74.87,62.34,31.04,1630.5,20.0,72610491.0,3.0,16,1750199
