artist,listeners,in_chart,chart_weeks,total_streams,best_position
PinkPantheress,2922490,True,11.0,205656274.0,3.0
The Weeknd,5233527,True,37.0,3466615363.0,3.0
Kendrick Lamar,5023800,True,34.0,1920957684.0,2.0
Radiohead,8149620,True,27.0,418359275.0,29.0
Taylor Swift,5863513,True,37.0,4266405139.0,1.0
Rihanna,8203450,True,31.0,553833821.0,39.0
Kanye West,7864740,True,13.0,342431863.0,3.0
Charli xcx,3704686,True,19.0,323741740.0,14.0
Lady Gaga,7632370,True,20.0,1157385738.0,1.0
Drake,6646671,True,36.0,963750145.0,15.0
"Tyler, The Creator",4255100,False,0.0,0.0,
Ariana Grande,4406075,True,37.0,1109629138.0,2.0
Bad Bunny,2475994,True,36.0,3394122112.0,1.0
Tame Impala,4217192,True,5.0,101669810.0,53.0
Lana Del Rey,5180414,True,33.0,737134288.0,31.0
Sabrina Carpenter,3172298,True,37.0,2494755919.0,1.0
Bruno Mars,5149729,True,37.0,2861196103.0,1.0
Billie Eilish,4157414,True,37.0,2459302740.0,1.0
Gorillaz,6779023,True,15.0,158683224.0,53.0
Arctic Monkeys,7015740,True,37.0,1358303915.0,15.0
Frank Ocean,4193451,True,24.0,252812931.0,69.0
Mitski,3201407,True,18.0,321987141.0,3.0
Paramore,5558244,False,0.0,0.0,
A$AP Rocky,3389842,True,3.0,39443783.0,56.0
Doja Cat,3560361,True,18.0,466085238.0,1.0
Chappell Roan,2504682,True,23.0,917984476.0,6.0
Don Toliver,2440803,True,27.0,319472218.0,45.0
The Smiths,4998810,False,0.0,0.0,
Fleetwood Mac,4808547,True,19.0,258504205.0,37.0
Justin Bieber,4706695,True,34.0,817722110.0,4.0
The Marías,2420147,True,15.0,262241098.0,38.0
Deftones,4165017,False,0.0,0.0,
Linkin Park,6856669,True,29.0,724627470.0,9.0
The Neighbourhood,3887320,True,37.0,576199049.0,17.0
SZA,3438127,True,37.0,1987375040.0,2.0
Travis Scott,3280150,True,25.0,945857597.0,3.0
Coldplay,9019488,True,37.0,1744148670.0,19.0
Childish Gambino,3744860,False,0.0,0.0,
Michael Jackson,6744770,True,10.0,111639890.0,83.0
Clairo,2869840,False,0.0,0.0,
Playboi Carti,2438179,True,33.0,927958805.0,11.0
Future,3171840,True,21.0,596742628.0,4.0
Olivia Rodrigo,3027822,True,15.0,460162426.0,5.0
TV Girl,2784803,True,21.0,201059740.0,107.0
Twenty One Pilots,3291476,True,8.0,76836957.0,57.0
Harry Styles,3197410,True,35.0,737417046.0,2.0
Joji,2956634,True,5.0,45197849.0,74.0
Beyoncé,6322308,True,9.0,160774934.0,2.0
Mac Miller,3466486,False,0.0,0.0,
sombr,1741726,True,12.0,680729101.0,2.0
Nirvana,7457169,True,13.0,168022847.0,114.0
Olivia Dean,1335764,True,7.0,464744426.0,3.0
The Beatles,6445190,False,0.0,0.0,
Lil Uzi Vert,2694002,True,6.0,105365827.0,30.0
Britney Spears,6372536,True,3.0,46940622.0,55.0
Katy Perry,7048299,True,3.0,26888195.0,144.0
Zara Larsson,2185312,True,4.0,139417006.0,9.0
Kali Uchis,3011779,True,35.0,654761217.0,11.0
Lorde,3672072,True,3.0,48199175.0,19.0
Maroon 5,6564586,True,16.0,139600905.0,85.0
beabadoobee,2554484,True,1.0,7914985.0,165.0
Mac DeMarco,3198917,True,2.0,15429983.0,173.0
Addison Rae,1486740,True,9.0,97947512.0,33.0
Baby Keem,1987315,False,0.0,0.0,
Laufey,2268345,True,11.0,135985666.0,33.0
Tate McRae,2217123,True,32.0,1175241448.0,1.0
The Cure,5427832,True,2.0,17935722.0,143.0
J. Cole,3807253,True,15.0,231110539.0,17.0
My Chemical Romance,4784939,False,0.0,0.0,
Red Hot Chili Peppers,7187992,True,3.0,33780034.0,161.0
Steve Lacy,3062192,True,12.0,137396683.0,57.0
The Strokes,5651179,False,0.0,0.0,
Calvin Harris,4941812,True,28.0,359597422.0,59.0
Daniel Caesar,2302276,True,8.0,137101590.0,10.0
Green Day,6520124,False,0.0,0.0,
Dominic Fike,2334593,True,6.0,75497208.0,18.0
Weezer,5347975,False,0.0,0.0,
System of a Down,5761070,False,0.0,0.0,
Queen,7160666,True,2.0,35340243.0,59.0
Eminem,7726026,True,36.0,777201020.0,12.0
Djo,2256954,True,25.0,520755114.0,1.0
Post Malone,3483537,True,31.0,916884870.0,1.0
Sade,3333903,False,0.0,0.0,
Brent Faiyaz,2006990,True,2.0,17219702.0,153.0
Hozier,3294111,True,32.0,679489101.0,8.0
Malcolm Todd,1128902,False,0.0,0.0,
RAYE,1797157,True,24.0,382928264.0,6.0
Cigarettes After Sex,2828983,True,37.0,491299361.0,65.0
Metro Boomin,2441400,True,21.0,904374691.0,4.0
Daft Punk,6249715,True,37.0,505072607.0,24.0
BTS,2316882,True,5.0,74581683.0,45.0
Pink Floyd,5495214,False,0.0,0.0,
Panic! at the Disco,4359108,False,0.0,0.0,
KATSEYE,1479403,True,12.0,300584800.0,10.0
Black Eyed Peas,5654716,True,4.0,58518724.0,24.0
LE SSERAFIM,1616893,True,14.0,173731673.0,25.0
BLACKPINK,1952307,True,10.0,141555656.0,8.0
Justin Timberlake,5473467,True,2.0,17376841.0,167.0
The Killers,6874883,True,20.0,199006276.0,50.0
Pierce the Veil,2041985,True,1.0,8270513.0,175.0
Yeat,1583135,True,6.0,89067439.0,15.0
Fall Out Boy,5015956,False,0.0,0.0,
David Guetta,5160920,True,21.0,430129268.0,10.0
EsDeeKid,875817,True,4.0,88927760.0,41.0
TWICE,1869503,True,4.0,74322292.0,52.0
Marina,2213425,False,0.0,0.0,
Dua Lipa,3224232,True,20.0,584986218.0,6.0
The Smashing Pumpkins,4501259,False,0.0,0.0,
ABBA,4330377,True,1.0,8431450.0,175.0
Pitbull,4341486,True,17.0,172908951.0,96.0
The Cranberries,4668662,True,1.0,8901520.0,193.0
Madonna,5520985,True,13.0,188348221.0,12.0
Kesha,3086977,True,2.0,25319672.0,73.0
David Bowie,5543805,False,0.0,0.0,
JAŸ-Z,251885,True,1.0,10149204.0,79.0
XXXTENTACION,2776645,True,4.0,34478211.0,181.0
Muse,6326491,False,0.0,0.0,
Miley Cyrus,4785176,True,26.0,599239329.0,1.0
Foo Fighters,6313148,False,0.0,0.0,
Cocteau Twins,2252915,False,0.0,0.0,
Conan Gray,2379267,True,7.0,60127067.0,146.0
Nelly Furtado,4789200,True,6.0,51046715.0,150.0
Doechii,1975972,True,10.0,219628177.0,4.0
One Direction,3219123,True,28.0,352044360.0,13.0
The 1975,2613156,True,1.0,8106206.0,195.0
Beach House,3473201,True,1.0,7242499.0,200.0
Lil Wayne,3529811,True,6.0,97384374.0,25.0
PARTYNEXTDOOR,1935900,True,2.0,22726227.0,66.0
Melanie Martinez,2262252,False,0.0,0.0,
Lil Peep,2147926,False,0.0,0.0,
21 Savage,2272007,True,17.0,542202128.0,6.0
Adele,5565336,True,18.0,272867800.0,95.0
Slipknot,4168449,False,0.0,0.0,
Kate Bush,3411549,True,3.0,35273558.0,28.0
Gracie Abrams,1774025,True,20.0,589781468.0,6.0
Oasis,5817393,True,5.0,49662076.0,94.0
Shakira,4806448,True,23.0,483075042.0,2.0
Limp Bizkit,4078832,False,0.0,0.0,
Gunna,1779003,True,17.0,237144034.0,10.0
Juice WRLD,2448007,True,3.0,42868727.0,101.0
Alex G,2027114,False,0.0,0.0,
bôa,2061842,False,0.0,0.0,
Troye Sivan,2413316,True,5.0,55780829.0,34.0
Billy Joel,4002041,False,0.0,0.0,
Phoebe Bridgers,2120975,False,0.0,0.0,
MGMT,5210563,False,0.0,0.0,
ROSALÍA,1821645,True,15.0,287748136.0,5.0
Kid Cudi,4648881,False,0.0,0.0,
Evanescence,4440482,True,11.0,102520227.0,90.0
Halsey,2774603,True,13.0,116152151.0,76.0
Tory Lanez,1928385,True,9.0,77844851.0,116.0
Noah Kahan,1537923,True,18.0,285457307.0,8.0
The Police,4539438,True,33.0,409102953.0,10.0
Megan Thee Stallion,2278315,True,4.0,54825865.0,35.0
OutKast,4916274,False,0.0,0.0,
Sufjan Stevens,3859568,False,0.0,0.0,
