artist,listeners,chart_weeks,total_streams,best_position,log_listeners,log_chart_weeks,log_total_streams
PinkPantheress,2922490,11.0,205656274.0,3.0,6.465753033793758,1.0413926851582251,8.313141963162074
The Weeknd,5233527,37.0,3466615363.0,3.0,6.718794469054239,1.568201724066995,9.539905657349058
Kendrick Lamar,5023800,34.0,1920957684.0,2.0,6.7010323415919375,1.5314789170422551,9.283517798069548
Radiohead,8149620,27.0,418359275.0,29.0,6.911137358954625,1.4313637641589874,8.621549401711041
Taylor Swift,5863513,37.0,4266405139.0,1.0,6.7681578923636865,1.568201724066995,9.630062093794546
Rihanna,8203450,31.0,553833821.0,39.0,6.913996535414989,1.4913616938342726,8.743379473304064
Kanye West,7864740,13.0,342431863.0,3.0,6.89568436987962,1.1139433523068367,8.534574168625598
Charli xcx,3704686,19.0,323741740.0,14.0,6.568751404151708,1.2787536009528289,8.510198696569823
Lady Gaga,7632370,20.0,1157385738.0,1.0,6.882659415818591,1.3010299956639813,9.06347812642388
Drake,6646671,36.0,963750145.0,15.0,6.822604182396718,1.5563025007672873,8.983964456400331
Ariana Grande,4406075,37.0,1109629138.0,2.0,6.644051885417772,1.568201724066995,9.04517785245101
Bad Bunny,2475994,36.0,3394122112.0,1.0,6.393749587936914,1.5563025007672873,9.530727463088839
Tame Impala,4217192,5.0,101669810.0,53.0,6.625023373991466,0.6989700043360189,8.007192011950583
Lana Del Rey,5180414,33.0,737134288.0,31.0,6.714364468380545,1.5185139398778875,8.867546612994424
Sabrina Carpenter,3172298,37.0,2494755919.0,1.0,6.501373977408709,1.568201724066995,9.397028061696158
Bruno Mars,5149729,37.0,2861196103.0,1.0,6.711784375273947,1.568201724066995,9.456547624855984
Billie Eilish,4157414,37.0,2459302740.0,1.0,6.618823274196609,1.568201724066995,9.390811993650727
Gorillaz,6779023,15.0,158683224.0,53.0,6.831167107394638,1.1760912590556813,8.200531015542886
Arctic Monkeys,7015740,37.0,1358303915.0,15.0,6.846073485908499,1.568201724066995,9.132996952448465
Frank Ocean,4193451,24.0,252812931.0,69.0,6.6225715727012915,1.380211241711606,8.402799283685987
Mitski,3201407,18.0,321987141.0,3.0,6.505340890207208,1.255272505103306,8.507838527893796
A$AP Rocky,3389842,3.0,39443783.0,56.0,6.530179456277635,0.47712125471966244,7.595978560864423
Doja Cat,3560361,18.0,466085238.0,1.0,6.551494035152479,1.255272505103306,8.668465348037355
Chappell Roan,2504682,23.0,917984476.0,6.0,6.398752594709462,1.3617278360175928,8.96283533692614
Don Toliver,2440803,27.0,319472218.0,45.0,6.387532728427634,1.4313637641589874,8.50443309694229
Fleetwood Mac,4808547,19.0,258504205.0,37.0,6.682013865311078,1.2787536009528289,8.412467612008077
Justin Bieber,4706695,34.0,817722110.0,4.0,6.672716056367217,1.5314789170422551,8.91260574059322
The Marías,2420147,15.0,262241098.0,38.0,6.383841745877099,1.1760912590556813,8.418700754615468
Linkin Park,6856669,29.0,724627470.0,9.0,6.836113184766061,1.462397997898956,8.860114793738383
The Neighbourhood,3887320,37.0,576199049.0,17.0,6.589650292757314,1.568201724066995,8.760572537154403
SZA,3438127,37.0,1987375040.0,2.0,6.53632191492826,1.568201724066995,9.298279831092247
Travis Scott,3280150,25.0,945857597.0,3.0,6.5158937042856895,1.3979400086720377,8.975825756388708
Coldplay,9019488,37.0,1744148670.0,19.0,6.955181885093403,1.568201724066995,9.241583501129083
Michael Jackson,6744770,10.0,111639890.0,83.0,6.828967144603338,1.0,8.04781939990172
Playboi Carti,2438179,33.0,927958805.0,11.0,6.38706558637612,1.5185139398778875,8.967528696953464
Future,3171840,21.0,596742628.0,4.0,6.501311271687913,1.3222192947339193,8.775787062553201
Olivia Rodrigo,3027822,15.0,460162426.0,5.0,6.481130340217063,1.1760912590556813,8.662911153995672
TV Girl,2784803,21.0,201059740.0,107.0,6.444794478131282,1.3222192947339193,8.303325116612239
Twenty One Pilots,3291476,8.0,76836957.0,57.0,6.5173906927546765,0.9030899869919435,7.8855701570189485
Harry Styles,3197410,35.0,737417046.0,2.0,6.5047983288962845,1.5440680443502757,8.867713172459377
Joji,2956634,5.0,45197849.0,74.0,6.4707975667925215,0.6989700043360189,7.65511776689857
Beyoncé,6322308,9.0,160774934.0,2.0,6.800875649276758,0.9542425094393249,8.206218339971853
sombr,1741726,12.0,680729101.0,2.0,6.240979834915303,1.0791812460476249,8.832974316982694
Nirvana,7457169,13.0,168022847.0,114.0,6.872573985511968,1.1139433523068367,8.225368339174675
Olivia Dean,1335764,7.0,464744426.0,3.0,6.1257297346729365,0.8450980400142568,8.667214189682324
Lil Uzi Vert,2694002,6.0,105365827.0,30.0,6.430397913802944,0.7781512503836436,8.022699780214637
Britney Spears,6372536,3.0,46940622.0,55.0,6.804312297582998,0.47712125471966244,7.671548840042676
Katy Perry,7048299,3.0,26888195.0,144.0,6.848084319254125,0.47712125471966244,7.429561649086416
Zara Larsson,2185312,4.0,139417006.0,9.0,6.339513450553645,0.6020599913279624,8.144315751964966
Kali Uchis,3011779,35.0,654761217.0,11.0,6.478823100794992,1.5440680443502757,8.816082947249198
Lorde,3672072,3.0,48199175.0,19.0,6.564911188023796,0.47712125471966244,7.68303960471159
Maroon 5,6564586,16.0,139600905.0,85.0,6.817207342217588,1.2041199826559248,8.144888233725768
beabadoobee,2554484,1.0,7914985.0,165.0,6.4073031868251045,0.0,6.898450096150566
Mac DeMarco,3198917,2.0,15429983.0,173.0,6.505002971903542,0.3010299956639812,7.1883654475790095
Addison Rae,1486740,9.0,97947512.0,33.0,6.172235026061899,0.9542425094393249,7.990993408800441
Laufey,2268345,11.0,135985666.0,33.0,6.3557091085107675,1.0413926851582251,8.133493132596803
Tate McRae,2217123,32.0,1175241448.0,1.0,6.345789787268524,1.505149978319906,9.070127099596583
The Cure,5427832,2.0,17935722.0,143.0,6.7346263970934315,0.3010299956639812,7.25371886382797
J. Cole,3807253,15.0,231110539.0,17.0,6.580611737558543,1.1760912590556813,8.363819750434468
Red Hot Chili Peppers,7187992,3.0,33780034.0,161.0,6.856607585081651,0.47712125471966244,7.528660082357694
Steve Lacy,3062192,12.0,137396683.0,57.0,6.486032417559616,1.0791812460476249,8.137976248209812
Calvin Harris,4941812,28.0,359597422.0,59.0,6.693886219634328,1.4471580313422192,8.555816569559557
Daniel Caesar,2302276,8.0,137101590.0,10.0,6.362157386232049,0.9030899869919435,8.137042491435917
Dominic Fike,2334593,6.0,75497208.0,18.0,6.368211179008884,0.7781512503836436,7.8779308910647625
Queen,7160666,2.0,35340243.0,59.0,6.854953417094684,0.3010299956639812,7.5482695313958805
Eminem,7726026,36.0,777201020.0,12.0,6.887956165320261,1.5563025007672873,8.890533361896969
Djo,2256954,25.0,520755114.0,1.0,6.353522707615754,1.3979400086720377,8.716633543566639
Post Malone,3483537,31.0,916884870.0,1.0,6.5420204277055225,1.4913616938342726,8.962314806266802
Brent Faiyaz,2006990,2.0,17219702.0,153.0,6.3025452085833304,0.3010299956639812,7.236025631387354
Hozier,3294111,32.0,679489101.0,8.0,6.51773822928282,1.505149978319906,8.8321824950442
RAYE,1797157,24.0,382928264.0,6.0,6.254586018820314,1.380211241711606,8.583117422879992
Cigarettes After Sex,2828983,37.0,491299361.0,65.0,6.4516303376908635,1.568201724066995,8.691346199277596
Metro Boomin,2441400,21.0,904374691.0,4.0,6.387638940236929,1.3222192947339193,8.956348400076639
