artist_name,total_events,revisit_cities,new_cities,pct_revisit_cities,revisit_ratio,pct_events_revisit,most_visited_city,most_visited_n,listeners
$uicideboy$,1,0,1,0.0,0.0,0.0,Sacramento,1,1566028
2hollis,6,0,6,0.0,0.0,0.0,Ciudad de México,1,768586
5 Seconds of Summer,67,2,63,3.08,0.032,5.97,Birmingham,2,2232532
A Boogie wit da Hoodie,5,0,5,0.0,0.0,0.0,University Park,1,1428627
A$AP Rocky,39,0,39,0.0,0.0,0.0,San Francisco,1,3394952
AC/DC,22,1,17,5.56,0.059,15.0,Ciudad de México,3,4513531
Addison Rae,1,0,1,0.0,0.0,0.0,Dublin,1,1494360
Adele,9,3,0,100.0,,100.0,Arlington,3,5569703
Aerosmith,2,0,2,0.0,0.0,0.0,Charlotte,1,4690552
Air,28,2,22,8.33,0.091,21.43,Las Vegas,4,3185604
Akon,65,5,51,8.93,0.098,21.54,London,4,3697066
Alex G,4,0,4,0.0,0.0,0.0,México,1,2030167
Alex Warren,49,4,41,8.89,0.098,16.33,London,2,926999
Alice in Chains,1,0,1,0.0,0.0,0.0,Southampton,1,3414720
All Time Low,4,0,4,0.0,0.0,0.0,Peoria,1,2546739
America,16,0,16,0.0,0.0,0.0,Nashville,1,2111449
Amy Winehouse,36,1,34,2.86,0.029,5.56,London,2,4585281
Anitta,1,0,1,0.0,0.0,0.0,Berlin,1,1191976
Arctic Monkeys,1,0,1,0.0,0.0,0.0,Ankara,1,7022313
Ariana Grande,41,11,0,100.0,,100.0,London,10,4410853
Artemas,7,0,7,0.0,0.0,0.0,New York,1,1581554
Ashnikko,32,0,32,0.0,0.0,0.0,Nashville,1,1439477
Avenged Sevenfold,16,0,16,0.0,0.0,0.0,Ridgedale,1,2845366
BTS,39,16,0,100.0,,100.0,Las Vegas,4,2320497
Baby Keem,45,7,30,18.92,0.233,33.33,San Francisco,3,1993022
Bad Bunny,26,8,2,80.0,4.0,92.31,Madrid,10,2487357
Bad Omens,20,3,13,18.75,0.231,35.0,Derby,3,774007
Bee Gees,1,0,1,0.0,0.0,0.0,San Leandro,1,3405065
Benson Boone,1,0,1,0.0,0.0,0.0,Birmingham,1,1459365
Big Thief,13,4,3,57.14,1.333,76.92,London,4,1629811
BigXthaPlug,6,0,6,0.0,0.0,0.0,Duluth,1,929893
Billy Idol,1,0,1,0.0,0.0,0.0,El Cajon,1,3024417
Billy Joel,5,0,5,0.0,0.0,0.0,Liverpool,1,4005717
Black Eyed Peas,1,0,1,0.0,0.0,0.0,Milton Keynes,1,5662158
Blondie,1,0,1,0.0,0.0,0.0,York,1,3396653
Blood Orange,8,1,5,16.67,0.2,28.57,Atlanta,2,1937417
Bob Dylan,23,0,23,0.0,0.0,0.0,Dothan,1,4269862
Bon Jovi,14,2,2,50.0,1.0,85.71,New York,9,4212207
Bring Me the Horizon,18,1,16,5.88,0.062,11.11,Dessel,2,2792465
Britney Spears,4,0,4,0.0,0.0,0.0,Swansea,1,6378577
Bruce Springsteen,20,2,16,11.11,0.125,20.0,New York,2,3549214
Bruno Mars,80,25,9,73.53,2.778,88.75,London,6,5158847
Bryson Tiller,1,0,1,0.0,0.0,0.0,Abu Dhabi,1,1675720
Cage the Elephant,3,0,3,0.0,0.0,0.0,Saint Paul,1,3348679
Calvin Harris,12,4,4,50.0,1.0,66.67,Glasgow,2,4947582
Cardi B,22,2,18,10.0,0.111,18.18,New York,2,2389266
Cavetown,12,1,10,9.09,0.1,16.67,London,2,1611788
Charli xcx,5,1,2,33.33,0.5,60.0,San Francisco,3,3710200
Charlie Puth,42,0,42,0.0,0.0,0.0,Santa Barbara,1,2415069
Chevelle,36,0,36,0.0,0.0,0.0,Birmingham,1,1807199
Chief Keef,2,0,2,0.0,0.0,0.0,South Padre Island,1,1718448
Childish Gambino,5,0,5,0.0,0.0,0.0,Saint Paul,1,3749738
Chris Brown,1,0,1,0.0,0.0,0.0,Sunrise,1,4725075
Chris Isaak,8,0,8,0.0,0.0,0.0,Weert,1,2018959
Christina Aguilera,4,0,4,0.0,0.0,0.0,Durant,1,4433255
Clean Bandit,1,0,1,0.0,0.0,0.0,Milton Keynes,1,2519621
Coldplay,5,0,5,0.0,0.0,0.0,Nuneaton,1,9025427
Conan Gray,27,1,24,4.0,0.042,11.11,London,3,2382472
Creed,14,2,8,20.0,0.25,42.86,Craven,4,2420420
Creedence Clearwater Revival,8,0,8,0.0,0.0,0.0,Hjørring,1,4049387
