artist_name,total_events,weekend_events,countries,cities,pct_weekend,lead_time_days,touring_status,future_events,pct_future_events,events_last_year,revisit_cities,new_cities,pct_revisit_cities,revisit_ratio,pct_events_revisit,most_visited_city,most_visited_n,capital_events,non_capital_events,pct_capital,capital_ratio,unique_capitals,unique_non_capitals,pct_capital_cities,avg_days_between_shows,top1_share,top3_share,top5_share,hhi,n_tracks,total_track_plays,listeners,playcount,tags
$uicideboy$,1,0,1,1,0.0,307.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Sacramento,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,9.76,26.5,40.28,598.5,20.0,128276845.0,1566028,460149658,"cloud rap, Hip-Hop, trap, rap, Horrorcore"
2hollis,6,2,5,6,33.33,125.0,active_tour,6,100.0,,0,6,0.0,0.0,0.0,Ciudad de México,1,1.0,5.0,16.67,0.2,1.0,5.0,16.67,29.8,15.26,35.96,49.28,729.2,20.0,51804518.0,768586,77852917,"cloud rap, digicore, hyperpop, electropop, Electroclash"
5 Seconds of Summer,67,21,14,65,31.34,146.0,active_tour,67,100.0,,2,63,3.08,0.032,5.97,Birmingham,2,7.0,60.0,10.45,0.117,7.0,58.0,10.77,3.4,13.97,37.12,50.02,733.2,20.0,83827686.0,2232532,205679380,"pop punk, pop rock, pop, australian, rock"
A Boogie wit da Hoodie,5,2,1,5,40.0,,active_tour,5,100.0,,0,5,0.0,0.0,0.0,University Park,1,1.0,4.0,20.0,0.25,1.0,4.0,20.0,8.2,13.48,34.14,50.06,762.5,20.0,59280055.0,1428627,99780459,"Hip-Hop, rap, hip hop, trap, Melodic Rap"
A$AP Rocky,39,11,11,39,28.21,140.0,active_tour,39,100.0,,0,39,0.0,0.0,0.0,San Francisco,1,6.0,33.0,15.38,0.182,6.0,33.0,15.38,3.3,12.81,31.0,47.33,684.9,20.0,192951112.0,3394952,358319978,"Hip-Hop, rap, underground hip-hop, swag, cloud rap"
AC/DC,22,7,3,18,31.82,127.0,active_tour,21,95.45,1.0,1,17,5.56,0.059,15.0,Ciudad de México,3,0.0,22.0,0.0,0.0,0.0,18.0,0.0,9.6,15.32,42.54,60.66,921.3,20.0,109681489.0,4513531,211059039,"hard rock, classic rock, rock, heavy metal, metal"
Addison Rae,1,0,1,1,0.0,173.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Dublin,1,1.0,0.0,100.0,,1.0,0.0,100.0,,21.58,48.69,64.24,1094.9,20.0,105743009.0,1494360,106410827,"pop, american, electropop, alt-pop, queen of pop"
Adele,9,5,1,3,55.56,275.0,active_tour,9,100.0,,3,0,100.0,,100.0,Arlington,3,0.0,9.0,0.0,0.0,0.0,3.0,0.0,4.6,13.16,33.85,46.87,675.1,20.0,212626387.0,5569703,315378204,"soul, female vocalists, british, singer-songwriter, indie"
Aerosmith,2,2,1,2,100.0,169.0,active_tour,2,100.0,,0,2,0.0,0.0,0.0,Charlotte,1,0.0,2.0,0.0,0.0,0.0,2.0,0.0,15.0,22.38,38.79,54.51,924.1,20.0,78906189.0,4690552,130174123,"hard rock, classic rock, rock, 80s, 70s"
Air,28,12,2,24,42.86,,active_tour,28,100.0,1.0,2,22,8.33,0.091,21.43,Las Vegas,4,0.0,28.0,0.0,0.0,0.0,24.0,0.0,7.8,11.11,26.89,44.35,630.6,20.0,67907106.0,3185604,135911152,"electronic, chillout, ambient, french, electronica"
Akon,65,24,14,56,36.92,83.0,active_tour,65,100.0,,5,51,8.93,0.098,21.54,London,4,13.0,52.0,20.0,0.25,7.0,49.0,12.5,1.9,19.66,47.52,65.7,1057.6,20.0,40439914.0,3697066,60800012,"rnb, Hip-Hop, rap, pop, hip hop"
Alex G,4,0,2,4,0.0,116.0,active_tour,4,100.0,,0,4,0.0,0.0,0.0,México,1,0.0,4.0,0.0,0.0,0.0,4.0,0.0,11.7,13.43,32.02,46.77,691.9,20.0,143818198.0,2030167,248089964,"Lo-Fi, singer-songwriter, indie rock, indie, indie folk"
Alex Warren,49,13,9,45,26.53,189.0,active_tour,49,100.0,,4,41,8.89,0.098,16.33,London,2,7.0,42.0,14.29,0.167,4.0,41.0,8.89,2.2,29.3,50.84,64.87,1300.0,20.0,23466209.0,926999,26856580,"folk, pop, singer-songwriter, indie, indie folk"
Alice in Chains,1,1,1,1,100.0,181.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Southampton,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,12.36,31.68,41.43,667.3,20.0,117952511.0,3414720,216216940,"Grunge, alternative rock, rock, hard rock, alternative"
All Time Low,4,3,1,4,75.0,253.0,active_tour,4,100.0,,0,4,0.0,0.0,0.0,Peoria,1,0.0,4.0,0.0,0.0,0.0,4.0,0.0,56.0,23.21,40.73,50.87,918.7,20.0,62473670.0,2546739,144212406,"pop punk, powerpop, rock, punk, emo"
America,16,9,1,16,56.25,,active_tour,16,100.0,,0,16,0.0,0.0,0.0,Nashville,1,0.0,16.0,0.0,0.0,0.0,16.0,0.0,13.7,35.82,70.83,80.21,2016.6,20.0,34632291.0,2111449,39229412,"classic rock, rock, 70s, soft rock, folk"
Amy Winehouse,36,17,2,35,47.22,195.0,active_tour,36,100.0,,1,34,2.86,0.029,5.56,London,2,3.0,33.0,8.33,0.091,2.0,33.0,5.71,9.1,17.26,38.86,56.61,842.8,20.0,143902980.0,4585281,201784749,"soul, jazz, female vocalists, british, singer-songwriter"
Anitta,1,1,1,1,100.0,312.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Berlin,1,1.0,0.0,100.0,,1.0,0.0,100.0,,10.45,27.65,34.0,690.0,20.0,62650768.0,1191976,153532025,"pop, brazilian, funk, dance, female vocalists"
Arctic Monkeys,1,1,1,1,100.0,67.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Ankara,1,1.0,0.0,100.0,,1.0,0.0,100.0,,11.66,29.18,44.68,634.5,20.0,481382211.0,7022313,919645115,"indie rock, indie, british, alternative, rock"
Ariana Grande,41,12,3,11,29.27,268.0,active_tour,41,100.0,,11,0,100.0,,100.0,London,10,10.0,31.0,24.39,0.323,1.0,10.0,9.09,2.2,7.67,19.6,28.21,559.5,20.0,367213645.0,4410853,1082199073,"pop, rnb, female vocalists, Ariana Grande, american"
Artemas,7,2,2,7,28.57,,active_tour,5,71.43,2.0,0,7,0.0,0.0,0.0,New York,1,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.8,39.33,65.75,76.11,2136.6,20.0,41476744.0,1581554,51828950,"pop, british, rnb, indie, dark pop"
