week_date,artist,track,streams,position,weeks_on_chart,viral_hit,uri
2023-02-23,Miley Cyrus,Flowers,61763072,1,6,False,spotify:track:0yLdNVWF3Srea0uzk55zFn
2023-02-23,SZA,Kill Bill,46549077,2,11,False,spotify:track:1Qrg8KqiBpW07V7PNxwwwL
2023-02-23,"PinkPantheress, Ice Spice",Boy's a liar Pt. 2,39172306,3,3,True,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv
2023-02-23,"Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53/66",34781301,4,7,False,spotify:track:4nrPB8O7Y7wsOCJdgXkthe
2023-02-23,Harry Styles,As It Was,29532543,5,47,False,spotify:track:4Dvkj6JhhA12EX05fT7y2e
2023-02-23,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),29230147,6,12,False,spotify:track:2dHHgzDwk4BJdRwy9uXhTO
2023-02-23,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),27517947,7,22,False,spotify:track:0NZPBYD5qbEWRs3PrGiRkT
2023-02-23,"Yandel, Feid",Yandel 150,24973173,8,7,False,spotify:track:4FAKtPVycI4DxoOHC01YqD
2023-02-23,Manuel Turizo,La Bachata,23186047,9,34,False,spotify:track:5ww2BF9slyYgNOk37BlC4u
2023-02-23,"David Guetta, Bebe Rexha",I'm Good (Blue),22894913,10,26,False,spotify:track:4uUG5RXrOk84mYEfFvj3cK
2023-02-23,"Rema, Selena Gomez",Calm Down (with Selena Gomez),22203214,11,26,False,spotify:track:0WtM2NBVQNNJLh6scP13H8
2023-02-23,The Weeknd,Die For You,21655432,12,54,False,spotify:track:2LBqCSwhJGcFQeTHMVGwy3
2023-02-23,"RAYE, 070 Shake",Escapism.,21473847,13,13,False,spotify:track:5mHdCZtVyb4DcJw8799hZp
2023-02-23,Taylor Swift,Anti-Hero,20925576,14,18,False,spotify:track:0V3wPSX9ygBnCm8psDIegu
2023-02-23,NewJeans,OMG,20419626,15,8,False,spotify:track:65FftemJ1DbbZ45DUfHJXE
2023-02-23,d4vd,Here With Me,20191814,16,17,False,spotify:track:78Sw5GDo6AlGwTwanjXbGh
2023-02-23,"Ozuna, Feid",Hey Mor,18983116,17,19,False,spotify:track:1zsPaEkglFvxjAhrM8yhpr
2023-02-23,"Arcángel, Bad Bunny",La Jumpa,18846624,18,12,False,spotify:track:2mnXxnrX5vCGolNkaFvVeM
2023-02-23,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52/66",17919127,19,33,False,spotify:track:2tTmW7RDtMQtBk7m2rYeSw
2023-02-23,Coi Leray,Players,17795543,20,5,False,spotify:track:6UN73IYd0hZxLi8wFPMQij
2023-02-23,JVKE,golden hour,17765736,21,26,False,spotify:track:5odlY52u43F5BjByhxg7wg
2023-02-23,Tom Odell,Another Love,17058197,22,98,False,spotify:track:7jtQIBanIiJOMS6RyCx6jZ
2023-02-23,Miguel,Sure Thing,16991063,23,11,False,spotify:track:0JXXNGljqupsJaZsgSbMZV
2023-02-23,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,16663473,24,12,False,spotify:track:1Y3LN4zO1Edc2EluIoSPJN
2023-02-23,OneRepublic,I Ain't Worried,16373032,25,38,False,spotify:track:4fYte8ZvTK14NEhAOZocBi
2023-02-23,"Natanael Cano, Peso Pluma, Gabito Ballesteros",AMG,16356740,26,7,False,spotify:track:1lRtH4FszTrwwlK5gTSbXO
2023-02-23,Léo Santana,Zona De Perigo,16261465,27,3,False,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9
2023-02-23,Arctic Monkeys,I Wanna Be Yours,15951368,28,33,False,spotify:track:5XeFesFbtLpXzIVDNQP22n
2023-02-23,NewJeans,Ditto,15934711,29,10,False,spotify:track:3r8RuvgbX9s7ammBn07D3W
2023-02-23,Lil Uzi Vert,Just Wanna Rock,15786583,30,18,False,spotify:track:4FyesJzVpA39hbYvcseO2d
2023-02-23,"Peso Pluma, Natanael Cano",PRC,15717952,31,4,False,spotify:track:2mpoNBkngUEwnaKoBhZ0vl
2023-02-23,Feid,Feliz Cumpleaños Ferxxo,15699791,32,27,False,spotify:track:2CeKVsFFXG4QzA415QygGb
2023-02-23,"The Weeknd, Daft Punk",Starboy,15601507,33,125,False,spotify:track:7MXVkk9YMctZqd1Srtv4MB
