artist_name,top1_share,top3_share,top5_share,hhi,n_tracks,total_track_plays
$uicideboy$,9.76,26.5,40.28,598.7,20,129298526
21 Savage,12.0,30.2,48.24,685.2,20,139258605
2Pac,11.21,32.68,47.25,701.4,20,70235156
2hollis,15.45,36.06,49.27,731.8,20,52993746
5 Seconds of Summer,13.96,37.18,50.08,734.1,20,84479328
50 Cent,18.49,37.38,53.14,889.0,20,73082641
A Boogie wit da Hoodie,13.5,34.19,50.13,763.7,20,59852052
A$AP Rocky,12.8,31.04,47.43,685.7,20,195109880
ABBA,14.91,31.3,48.29,700.3,20,139718377
AC/DC,15.34,42.59,60.71,922.5,20,110315137
ATEEZ,10.15,21.41,33.77,559.6,20,84512018
Addison Rae,21.34,48.78,64.25,1096.0,20,108926431
Adele,13.14,33.82,46.88,674.8,20,213598689
Adrianne Lenker,20.79,47.81,63.59,1040.4,20,88743003
Aerosmith,22.41,38.83,54.53,925.5,20,79226013
Agust D,8.6,60.13,64.55,2497.5,20,480428393
Air,11.16,26.94,44.32,630.2,20,68269640
Akon,19.73,47.55,65.72,1058.6,20,40823190
Alex G,13.4,31.97,46.67,691.2,20,145341346
Alex Warren,29.06,50.48,64.29,1280.2,20,24318929
Alice in Chains,12.38,31.72,41.38,669.2,20,119125659
Alicia Keys,18.15,45.52,58.39,949.4,20,54284769
All Time Low,23.34,40.83,50.97,923.3,20,62805421
America,35.86,70.91,80.31,2022.0,20,35205985
Amy Winehouse,17.28,38.88,56.63,843.4,20,144597747
Anitta,10.48,27.68,34.03,689.1,20,63076274
Aphex Twin,11.3,28.55,38.79,626.9,20,100675741
Arctic Monkeys,11.69,29.23,44.75,635.5,20,484725335
Ariana Grande,7.65,19.61,28.17,559.4,20,370719639
Artemas,39.1,65.37,75.9,2115.2,20,42089914
Ashnikko,16.44,37.65,48.7,756.1,20,42036200
Audioslave,22.6,44.46,59.16,984.0,20,73767560
Avenged Sevenfold,8.19,23.94,37.0,557.2,20,116624662
Avicii,17.63,40.37,58.55,884.5,20,77917909
Avril Lavigne,13.63,32.77,48.97,696.2,20,138755486
Ayesha Erotica,13.49,37.64,57.89,817.0,20,37399059
Azealia Banks,19.88,46.28,59.23,987.6,20,60691544
B.o.B,26.08,53.13,66.6,1409.6,20,29813715
BLACKPINK,11.47,23.15,42.8,633.8,20,239651135
BROCKHAMPTON,13.04,29.8,42.21,631.5,20,88446164
BTS,15.84,36.19,51.91,923.3,20,1097148388
Baby Keem,18.84,41.13,59.34,911.1,20,150951538
Bad Bunny,9.76,24.78,38.37,571.9,20,160082274
Bad Omens,13.25,35.97,46.7,704.6,20,60403017
Beach House,23.16,41.24,55.22,949.1,20,141832267
Bee Gees,13.07,42.02,55.48,858.3,20,48391031
Benson Boone,25.26,50.6,67.16,1197.6,20,38988321
Beyoncé,7.33,19.38,28.55,561.2,20,198828345
Big Thief,14.69,40.85,55.86,829.6,20,75455286
BigXthaPlug,17.48,41.09,56.41,880.6,20,25296645
Billie Eilish,12.68,25.55,37.03,605.9,20,428388664
Billy Idol,39.56,66.42,79.41,2118.4,20,44212761
Billy Joel,12.83,46.44,61.97,986.3,20,95036662
Björk,9.4,24.82,35.9,564.3,20,100671348
Black Eyed Peas,15.0,40.24,52.84,834.6,20,106791688
Black Sabbath,19.36,37.72,47.95,797.6,20,78549308
Bladee,14.25,30.84,44.32,657.5,20,107149833
Blondie,20.51,49.07,62.06,1036.8,20,53029902
Blood Orange,26.19,44.78,54.56,1071.4,20,63834414
Blur,16.23,38.42,50.04,767.7,20,88437581
