artist_name,track_name,rank,playcount
PinkPantheress,Pain,1,35344420
PinkPantheress,Boy's a liar Pt. 2,2,22457576
PinkPantheress,I Must Apologise,3,15712275
PinkPantheress,Break It Off - Bonus,4,11349604
PinkPantheress,Illegal,5,11730858
PinkPantheress,Attracted to You,6,17405631
PinkPantheress,Stateside + Zara Larsson,7,14935083
PinkPantheress,Just for Me,8,10329040
PinkPantheress,Tonight,9,11730723
PinkPantheress,Boy's a liar,10,6581325
PinkPantheress,Passion,11,8894880
PinkPantheress,Stateside,12,9686532
PinkPantheress,Mosquito,13,8491278
PinkPantheress,Take me home,14,5663274
PinkPantheress,Girl Like Me,15,6968038
PinkPantheress,All My Friends Know,16,4991239
PinkPantheress,Picture In My Mind,17,4418238
PinkPantheress,The aisle,18,4693964
PinkPantheress,Stars,19,4926650
PinkPantheress,Break It Off,20,5418987
The Weeknd,Blinding Lights,1,38006602
The Weeknd,Starboy,2,33063824
The Weeknd,The Hills,3,27180867
The Weeknd,Die for You,4,33348294
The Weeknd,Can't Feel My Face,5,18438417
The Weeknd,Save Your Tears,6,26959383
The Weeknd,Stargirl Interlude,7,36633794
The Weeknd,Call Out My Name,8,20739649
The Weeknd,I Feel It Coming,9,15638375
The Weeknd,"One of the Girls (with JENNIE, Lily Rose Depp)",10,26875562
The Weeknd,Heartless,11,19993618
The Weeknd,Often,12,13935006
The Weeknd,Is There Someone Else?,13,20831388
The Weeknd,After Hours,14,19460467
The Weeknd,Reminder,15,16241113
The Weeknd,Timeless (feat Playboi Carti),16,13480753
The Weeknd,Party Monster,17,13548114
The Weeknd,In Your Eyes,18,13371391
The Weeknd,Earned It (Fifty Shades of Grey),19,8975839
The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,20,6801970
Kendrick Lamar,HUMBLE.,1,30867826
Kendrick Lamar,Money Trees,2,34510048
Kendrick Lamar,Not Like Us,3,29605675
Kendrick Lamar,Alright,4,30965069
Kendrick Lamar,All the Stars (with SZA),5,26490183
Kendrick Lamar,PRIDE.,6,32483809
Kendrick Lamar,DNA.,7,24300222
Kendrick Lamar,LOVE. FEAT. ZACARI.,8,25100937
Kendrick Lamar,"Bitch, Don’t Kill My Vibe",9,18496032
Kendrick Lamar,luther (with SZA),10,27126339
Kendrick Lamar,Swimming Pools (Drank),11,14323469
Kendrick Lamar,King Kunta,12,19279642
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,13,15415048
Kendrick Lamar,N95,14,19756840
Kendrick Lamar,tv off (feat. Lefty Gunplay),15,16747100
